job_role,job_level,location,actual_base,actual_start_date,time_to_fill,currency,base_low,base_mid,base_high
Business Development,IC2,North America - USA - A,114400.0,03-30-2026,0.0,,,,
Data Platform Engineer,IC2,North America - USA - A,,01-04-2027,0.0,,,,
Sales Development,IC1,Asia Pacific - Australia,,07-06-2026,59.0,,,,
Solutions Architect,IC1,North America - USA - A,,07-01-2026,13.0,USD,78000.0,98000.0,118000.0
Partner Program,IC5,North America - USA - A,235000.0,06-08-2026,49.0,USD,172000.0,215000.0,258000.0
Recruiting,IC3,North America - USA - A,126880.0,05-18-2026,,,,,
Sales Development,IC1,Europe - Western - United Kingdom,45000.0,06-08-2026,16.0,GBP,38000.0,42000.0,46000.0
Software Engineering,IC3,North America - USA - A,215000.0,04-16-2026,2.0,,,,
Developer Success Engineer,IC4,Asia Pacific - Australia,,04-01-2026,10.0,,,,
account executives Major,IC5,North America - USA - B,175000.0,05-11-2026,17.0,,,,
Product Management,IC3,North America - USA - A,205000.0,05-26-2026,2.0,,,,
Product Design,IC4,North America - USA - A,205000.0,03-30-2026,27.0,,,,
Software Engineering,IC3,North America - USA - A,,08-03-2026,,USD,172000.0,215000.0,258000.0
Software Engineering,IC4,North America - USA - A,305000.0,05-04-2026,58.0,,,,
account executives Major,IC4,Asia Pacific - Australia,,07-06-2026,47.0,,,,
FP&A,M6,North America - USA - A,415000.0,06-22-2026,91.0,USD,268000.0,335000.0,402000.0
account executives Major,IC5,North America - USA - A,210000.0,06-08-2026,66.0,,,,
Executive Assistant,IC3,North America - USA - A,150000.0,03-02-2026,4.0,,,,
Solutions Architect,IC4,Europe - Western - United Kingdom,105000.0,05-26-2026,82.0,,,,
Account Executives,M4,North America - USA - A,,08-03-2026,0.0,USD,173000.0,192500.0,212000.0
Solutions Architect,M6,North America - USA - A,320000.0,04-13-2026,26.0,,,,
Enablement,IC3,North America - USA - A,,06-08-2026,38.0,USD,124000.0,155000.0,186000.0
Enablement,M4,North America - USA - A,,03-16-2026,14.0,,,,
Account Executives Startups,IC2,Asia Pacific - Australia,,04-01-2026,5.0,,,,
Account Executives Commercial,IC3,North America - USA - A,130000.0,04-06-2026,5.0,,,,
Account Executives Startups,IC2,Asia Pacific - Australia,,07-06-2026,62.0,,,,
account executives Major,IC5,North America - USA - A,180000.0,05-11-2026,22.0,,,,
account executives Major,IC4,North America - USA - A,,08-03-2026,14.0,,,,
Account Executives Startups,IC2,North America - USA - A,111000.0,05-11-2026,0.0,,,,
Account Executives Startups,IC2,North America - USA - A,138000.0,04-06-2026,15.0,,,,
,IC4,North America - USA - A,145000.0,05-11-2026,15.0,,,,
Account Executives Startups,IC2,North America - USA - A,125000.0,04-06-2026,7.0,,,,
Account Executives Startups,IC3,North America - USA - A,,07-06-2026,5.0,USD,108000.0,120000.0,132000.0
Account Executives Startups,IC2,North America - USA - A,,07-06-2026,61.0,USD,86000.0,95000.0,105000.0
Account Executives Commercial,IC3,North America - USA - A,129000.0,06-08-2026,0.0,,,,
Account Executives Startups,IC2,North America - USA - A,,07-06-2026,2.0,USD,86000.0,95000.0,105000.0
Account Executives Startups,IC3,Asia Pacific - Australia,,07-06-2026,2.0,,,,
Account Executives Startups,IC3,North America - USA - A,,07-06-2026,2.0,,,,
Account Executives Startups,IC2,North America - USA - A,88000.0,05-11-2026,57.0,,,,
Developer Success Engineer,IC3,Europe - Western - United Kingdom,110000.0,06-08-2026,42.0,,,,
Developer Success Engineer,IC4,Europe - Western - United Kingdom,,07-06-2026,99.0,GBP,98000.0,122000.0,147000.0
Solutions Architect,IC3,Europe - Western - United Kingdom,,07-20-2026,51.0,GBP,79000.0,99000.0,118000.0
Solutions Architect,IC3,Europe - Western - United Kingdom,,08-03-2026,43.0,,,,
Solutions Architect,IC1,North America - USA - A,106500.0,05-11-2026,1.0,,,,
Solutions Architect,IC4,North America - USA - A,165000.0,04-06-2026,22.0,,,,
Solutions Architect,IC4,North America - USA - A,195000.0,06-08-2026,5.0,,,,
Solutions Architect,IC6,North America - USA - A,318750.0,06-08-2026,4.0,USD,213000.0,266000.0,319000.0
,IC3,North America - USA - A,172500.0,06-22-2026,22.0,,,,
Solutions Architect,IC4,North America - USA - A,180000.0,04-06-2026,18.0,,,,
Solutions Architect,IC4,North America - USA - A,106500.0,06-08-2026,2.0,,,,
Solutions Architect,IC4,North America - USA - A,126000.0,05-01-2026,35.0,,,,
Solutions Architect,IC3,North America - USA - A,,08-03-2026,1.0,,,,
Developer Success Engineer,M3,North America - USA - B,,07-06-2026,67.0,,,,
Solutions Architect,M4,North America - USA - A,245000.0,05-26-2026,53.0,,,,
Technical Account Manager,IC3,Europe - Western - United Kingdom,,07-06-2026,68.0,GBP,83000.0,103000.0,124000.0
Sales Development,IC1,North America - USA - A,63000.0,06-08-2026,49.0,,,,
Sales Development,IC1,North America - USA - A,,07-06-2026,53.0,,,,
Sales Development,IC1,Europe - Western - United Kingdom,42000.0,05-11-2026,15.0,,,,
Sales Development,IC1,North America - USA - A,,07-06-2026,5.0,,,,
Sales Development,IC2,Asia Pacific - Australia,,07-06-2026,39.0,,,,
Sales Development,IC1,Europe - Western - United Kingdom,54000.0,04-06-2026,1.0,,,,
Content Marketing,IC4,North America - USA - A,217000.0,06-08-2026,63.0,,,,
Field Engineering,IC3,North America - USA - A,,07-01-2026,37.0,,,,
Revenue Marketing,IC3,Asia Pacific - Australia,,03-30-2026,12.0,,,,
Partner Management,IC4,North America - USA - A,,07-06-2026,83.0,,,,
Partner Solutions Engineering,IC3,North America - USA - A,,08-03-2026,17.0,USD,132000.0,165000.0,198000.0
Partner Management,IC5,Asia Pacific - Australia,,07-01-2026,78.0,,,,
Software Engineering,IC4,Europe - Western - United Kingdom,80000.0,06-08-2026,56.0,,,,
Software Engineering,IC6,North America - USA - A,265000.0,06-22-2026,7.0,,,,
Software Engineering,IC3,North America - USA - A,250000.0,05-11-2026,97.0,,,,
Content Marketing,IC5,North America - USA - A,,07-20-2026,105.0,USD,198000.0,248000.0,297000.0
Product Partnerships Development,IC4,North America - USA - A,143000.0,06-08-2026,80.0,,,,
Account Executives Startups,IC3,North America - USA - A,125000.0,03-16-2026,29.0,,,,
Security Engineering,IC4,North America - USA - A,,04-27-2026,3.0,,,,
Security Engineering,IC5,North America - USA - A,315000.0,06-08-2026,48.0,,,,
,IC5,North America - USA - A,270000.0,06-08-2026,50.0,,,,
Security Engineering,IC5,Europe - Western - United Kingdom,220000.0,04-27-2026,16.0,,,,
Recruiting,IC2,North America - USA - A,,03-02-2026,3.0,,,,
FP&A,IC4,North America - USA - A,210000.0,06-22-2026,71.0,,,,
Counsel,IC5,North America - USA - A,,06-29-2026,21.0,,,,
Counsel,IC5,Europe - Western - United Kingdom,,06-29-2026,71.0,,,,
Software Engineering,IC3,North America - USA - A,250000.0,04-06-2026,0.0,,,,
Software Engineering,IC3,North America - USA - A,290000.0,05-18-2026,1.0,,,,
Accounting,IC3,North America - USA - A,,07-06-2026,7.0,,,,
Accounting,M6,Asia Pacific - India,,08-03-2026,55.0,,,,
AP/AR,IC4,Asia Pacific - India,5750000.0,04-13-2026,35.0,,,,
Accounting,IC3,North America - USA - A,,03-16-2026,9.0,,,,
Product Management,IC4,North America - USA - A,,06-15-2026,37.0,USD,172000.0,215000.0,258000.0
Data Platform Engineer,IC5,North America - USA - A,240000.0,03-16-2026,9.0,,,,
L&D,IC5,North America - USA - A,225000.0,05-18-2026,92.0,,,,
Software Engineering,IC3,North America - Canada,,10-13-2026,1.0,,,,
Counsel,M5,North America - USA - A,400000.0,06-01-2026,106.0,,,,
Security Engineering,M6,North America - USA - A,375000.0,04-27-2026,55.0,,,,
Recruiting,IC4,North America - USA - A,260000.0,03-16-2026,1.0,,,,
People Operations,IC4,Europe - Western - United Kingdom,,06-29-2026,61.0,,,,
Facilities,IC2,North America - USA - A,,03-23-2026,15.0,,,,
Recruiting,IC3,Europe - Western - United Kingdom,110000.0,05-11-2026,64.0,,,,
,IC4,North America - USA - A,170000.0,05-04-2026,2.0,,,,
People Operations,IC5,North America - USA - A,220000.0,04-27-2026,43.0,,,,
Software Engineering,IC6,,350000.0,03-09-2026,6.0,,,,
Product Management,IC3,,190000.0,03-09-2026,14.0,,,,
Sales Development,IC2,,60000.0,02-02-2026,15.0,,,,
Sales Development,IC2,,60000.0,01-20-2026,5.0,,,,
Sales Development,IC2,,60000.0,01-05-2026,2.0,,,,
Account Executives Startups,IC3,Europe - Western - United Kingdom,95000.0,05-04-2026,50.0,,,,
,IC3,Europe - Western - United Kingdom,115000.0,06-08-2026,75.0,,,,
Software Engineering,IC3,,,05-26-2026,2.0,,,,
HRBPs,IC5,North America - USA - A,225000.0,04-20-2026,117.0,,,,
,M5,Europe - Western - United Kingdom,250000.0,04-13-2026,0.0,,,,
,IC4,,110000.0,01-20-2026,1.0,,,,
Accounting,IC3,North America - USA - A,135000.0,05-04-2026,97.0,,,,
Executive Assistant,IC4,North America - USA - A,160000.0,03-02-2026,68.0,,,,
Software Engineering,IC3,,,09-14-2026,5.0,,,,
Design Engineering,IC4,North America - USA - A,,07-06-2026,125.0,,,,
Software Engineering,IC4,North America - USA - A,270000.0,03-16-2026,1.0,,,,
Recruiting,M5,,300000.0,01-20-2026,17.0,,,,
Field Engineering,IC4,North America - USA - A,252000.0,06-08-2026,105.0,USD,134000.0,168000.0,201000.0
Trust & Safety,M5,North America - USA - A,350000.0,05-11-2026,153.0,,,,
Recruiting,IC5,North America - USA - A,240000.0,03-09-2026,37.0,,,,
Security Engineering,IC4,North America - USA - A,260000.0,04-27-2026,125.0,,,,
Software Engineering,IC4,North America - USA - A,220000.0,06-08-2026,129.0,,,,
Software Engineering,M4,North America - USA - A,315000.0,06-08-2026,44.0,,,,
Product Management,IC4,North America - USA - A,,07-06-2026,24.0,,,,
Design Engineering,IC4,North America - USA - A,,07-27-2026,,,,,
Developer Experience,IC3,,180000.0,12-15-2025,3.0,,,,
Sales Development,IC3,,72000.0,01-20-2026,8.0,,,,
Software Engineering,IC4,,240000.0,02-17-2026,52.0,,,,
Software Engineering,IC4,,275000.0,01-05-2026,12.0,,,,
Software Engineering,IC4,,290000.0,12-15-2025,16.0,,,,
Software Engineering,,,215000.0,03-02-2026,10.0,,,,
Account Executives Startups,IC3,,110000.0,12-15-2025,4.0,,,,
Sales Development,IC2,,60000.0,01-05-2026,7.0,,,,
Software Engineering,IC4,,280000.0,01-26-2026,14.0,,,,
Account Executives Commercial,IC3,,131560.0,02-17-2026,3.0,,,,
Software Engineering,IC3,North America - USA - A,,07-06-2026,50.0,,,,
Software Engineering,IC4,,,11-03-2025,0.0,,,,
account executives Major,IC5,,318000.0,02-02-2026,34.0,,,,
Account Executives Commercial,IC3,Europe - Western - United Kingdom,90000.0,04-06-2026,55.0,,,,
Account Executives Commercial,IC4,,129375.0,12-01-2025,3.0,,,,
Revenue Marketing,IC4,,185000.0,02-17-2026,96.0,,,,
Sales Development,IC1,Europe - Western - United Kingdom,50000.0,04-06-2026,132.0,,,,
Account Executives,M5,North America - USA - A,356000.0,05-01-2026,91.0,,,,
People Operations,M4,,240000.0,02-02-2026,77.0,,,,
Partner Management,M5,North America - USA - A,245000.0,03-02-2026,120.0,,,,
"Governance, Risk, and Compliance",IC4,North America - USA - A,260000.0,03-16-2026,165.0,,,,
Technical Account Manager,IC4,,193500.0,01-20-2026,38.0,,,,
Developer Success Engineer,M3,,165000.0,02-17-2026,40.0,,,,
Recruiting,IC5,,230000.0,10-14-2025,2.0,,,,
Software Engineering,IC3,,,11-10-2025,11.0,,,,
Sales Development,IC2,,54600.0,01-19-2026,0.0,,,,
Software Engineering,IC3,,230000.0,12-15-2025,3.0,,,,
Sales Development,IC1,North America - USA - A,70000.0,04-06-2026,78.0,,,,
Technical Program/Project Management,IC4,,230000.0,10-27-2025,41.0,,,,
Developer Success Engineer,IC4,,150000.0,10-06-2025,23.0,,,,
Software Engineering,IC3,,300000.0,01-20-2026,2.0,,,,
Developer Experience,IC4,,105000.0,01-05-2026,87.0,,,,
Software Engineering,IC4,,276780.0,08-25-2025,0.0,,,,
Developer Success Engineer,IC4,,140000.0,01-20-2026,42.0,,,,
Account Executives,IC4,,119025.0,10-06-2025,1.0,,,,
Account Executives Startups,M5,,219000.0,01-20-2026,49.0,,,,
Software Engineering,IC3,,380000.0,09-29-2025,0.0,,,,
Developer Success Engineer,IC4,,155000.0,12-15-2025,2.0,,,,
Account Executives Startups,M4,,192000.0,03-02-2026,106.0,,,,
Partner Management,IC4,,115000.0,01-12-2026,50.0,,,,
Account Executives,E1,,420000.0,01-05-2026,75.0,,,,
Software Engineering,IC4,,210000.0,01-27-2026,14.0,,,,
Developer Experience,,,145000.0,11-10-2025,5.0,,,,
account executives Major,IC4,North America - USA - A,175000.0,04-06-2026,1.0,,,,
Software Engineering,,,165000.0,06-22-2026,5.0,,,,
Revenue Operations,M5,,375000.0,01-20-2026,105.0,,,,
Software Engineering,IC5,,360000.0,01-26-2026,0.0,,,,
Software Engineering,IC3,,200000.0,11-17-2025,2.0,,,,
Software Engineering,IC4,North America - USA - A,,07-06-2026,9.0,,,,
Partner Management,IC4,,290000.0,12-15-2025,40.0,,,,
Product Partnerships Development,IC5,,275000.0,10-20-2025,36.0,,,,
Product Marketing,IC3,North America - USA - A,200000.0,06-08-2026,1.0,USD,144000.0,180000.0,216000.0
Software Engineering,IC4,,200000.0,03-16-2026,6.0,,,,
Revenue Operations,IC4,,250000.0,11-17-2025,42.0,,,,
Software Engineering,IC2,,,06-01-2026,8.0,,,,
Executive Assistant,,,140000.0,09-02-2025,0.0,,,,
Account Executives Startups,,,99150.0,02-02-2026,3.0,,,,
Account Executives,M5,,214512.52,10-01-2025,37.0,,,,
Recruiting,M4,,220000.0,09-22-2025,0.0,,,,
Software Engineering,M4,,300000.0,11-17-2025,65.0,,,,
Software Engineering,IC3,,200000.0,09-02-2025,1.0,,,,
Recruiting,IC4,,215000.0,11-03-2025,1.0,,,,
Account Executives,M5,,216000.0,02-23-2026,0.0,,,,
Account Executives Commercial,IC3,North America - USA - A,130000.0,03-16-2026,46.0,,,,
Accounting,IC5,,8600000.0,03-23-2026,77.0,,,,
Field Engineering,IC4,,97500.0,03-02-2026,26.0,,,,
Technical Account Manager,IC4,,137340.0,01-05-2026,0.0,,,,
account executives Major,M5,,229000.0,11-17-2025,18.0,,,,
Revenue Recognition,IC4,,,11-17-2025,7.0,,,,
Technical Account Manager,IC4,,175000.0,12-15-2025,81.0,,,,
Sales Development,IC2,,40200.0,09-15-2025,5.0,,,,
FP&A,M4,North America - USA - A,215000.0,03-16-2026,40.0,,,,
Field Engineering,IC4,,226320.0,01-05-2026,47.0,,,,
FP&A,IC4,North America - USA - A,210000.0,04-06-2026,65.0,,,,
Sales Development,IC1,,44000.0,11-03-2025,8.0,,,,
Account Executives,IC4,,195000.0,12-01-2025,2.0,,,,
People Operations,M5,,300000.0,01-26-2026,51.0,,,,
Business Systems,IC5,,245000.0,03-09-2026,136.0,,,,
Data Platform Engineer,IC5,North America - USA - A,300000.0,04-27-2026,0.0,,,,
Recruiting,IC4,,190000.0,09-15-2025,0.0,,,,
Account Executives Startups,IC2,,60000.0,01-05-2026,40.0,,,,
Data Analyst,IC5,,200000.0,11-03-2025,67.0,,,,
Recruiting,IC3,,152000.0,09-08-2025,1.0,,,,
Field Engineering,IC4,,336000.0,10-20-2025,11.0,,,,
Developer Success Engineer,IC4,,162300.0,11-03-2025,26.0,,,,
Account Executives Startups,M5,,195300.0,11-03-2025,64.0,,,,
Sales Development,IC2,,60000.0,01-05-2026,1.0,,,,
Account Executives Commercial,IC4,,119025.0,09-15-2025,0.0,,,,
Visual Design,IC4,,120000.0,01-20-2026,69.0,,,,
Account Executives,IC2,,110000.0,10-06-2025,25.0,,,,
Recruiting,IC4,,190000.0,10-06-2025,1.0,,,,
Design Engineering,IC3,,145000.0,12-15-2025,8.0,,,,
Account Executives Commercial,IC4,North America - USA - A,130000.0,03-16-2026,29.0,,,,
Developer Success Engineer,M3,,,12-01-2025,103.0,,,,
Technical Account Manager,IC4,,131250.0,02-02-2026,94.0,,,,
Facilities,IC3,,138000.0,12-01-2025,73.0,,,,
Recruiting,IC6,,300000.0,03-16-2026,0.0,,,,
Developer Success Engineer,IC4,,185002.0,11-03-2025,8.0,,,,
Account Executives Commercial,IC4,,147900.0,09-15-2025,11.0,,,,
Field Engineering,IC3,,90000.0,02-16-2026,91.0,,,,
Account Executives,IC4,,119025.0,11-03-2025,1.0,,,,
Data Platform Engineer,IC4,North America - USA - A,360000.0,04-13-2026,216.0,,,,
Sales Development,IC2,,60000.0,01-20-2026,0.0,,,,
Field Engineering,IC4,,165000.0,09-22-2025,13.0,,,,
Account Executives,M5,,227700.0,10-06-2025,0.0,,,,
Data Analyst,IC5,,290000.0,10-06-2025,36.0,,,,
Field Engineering,IC4,,262500.0,10-06-2025,25.0,,,,
FP&A,IC4,North America - USA - A,200000.0,03-09-2026,52.0,,,,
Sales Development,IC2,,44000.0,09-01-2025,3.0,,,,
Product Management,IC4,,330000.0,11-10-2025,7.0,,,,
Account Executives,IC2,,110000.0,12-01-2025,72.0,,,,
Sales Development,IC1,,60000.0,02-02-2026,86.0,,,,
Accounting,M5,,250000.0,02-23-2026,85.0,,,,
Account Executives Startups,IC2,,110000.0,12-01-2025,57.0,,,,
Accounting,M6,,315000.0,02-23-2026,130.0,,,,
Recruiting,IC3,,160000.0,10-06-2025,35.0,,,,
Accounting,M6,,320000.0,11-03-2025,41.0,,,,
Field Engineering,IC4,,,02-17-2026,0.0,,,,
Data Platform Engineer,IC4,,350000.0,12-08-2025,91.0,,,,
Sales Development,IC1,,60000.0,02-02-2026,2.0,,,,
Data Analyst,IC5,,285000.0,10-06-2025,36.0,,,,
Design Engineering,IC4,,162000.0,12-01-2025,78.0,,,,
Technical Account Manager,M5,,351555.56,09-22-2025,1.0,,,,
Events,IC4,,130000.0,01-06-2026,108.0,,,,
Product Partnerships Development,IC4,,300000.0,12-15-2025,45.0,,,,
Content Marketing,M5,,,01-12-2026,101.0,,,,
account executives Major,IC4,,150000.0,02-02-2026,120.0,,,,
Security Engineering,IC4,,280000.0,01-26-2026,15.0,,,,
Revenue Marketing,M6,,325000.0,12-01-2025,60.0,,,,
Revenue Marketing,IC4,,215000.0,09-29-2025,14.0,,,,
Counsel,IC4,,275000.0,12-01-2025,100.0,,,,
Facilities,IC5,,265000.0,07-28-2025,1.0,,,,
Content Marketing,IC4,Asia Pacific - Australia,126947.0,03-02-2026,77.0,,,,
Developer Experience,E1,,350000.0,10-27-2025,51.0,,,,
Executive Assistant,IC4,,168740.0,08-04-2025,3.0,,,,
Software Engineering,IC4,,145000.0,12-01-2025,99.0,,,,
Recruiting,IC2,,126880.0,08-04-2025,1.0,,,,
Financial Reporting,IC6,North America - USA - A,225000.0,06-22-2026,221.0,USD,188000.0,235000.0,282000.0
Recruiting,IC2,,125008.0,10-14-2025,3.0,,,,
Software Engineering,IC4,,225000.0,10-20-2025,0.0,,,,
Account Executives,IC4,,122952.0,07-08-2025,12.0,,,,
Software Engineering,IC4,,310000.0,01-05-2026,133.0,,,,
Software Engineering,E1,,350000.0,08-19-2025,37.0,,,,
Visual Design,IC4,North America - USA - A,,03-20-2026,175.0,,,,
Software Engineering,IC4,North America - USA - A,44000000.0,04-27-2026,204.0,,,,
Account Executives,IC4,,170775.0,11-03-2025,1.0,,,,
Software Engineering,IC4,,234000.0,11-24-2025,107.0,,,,
Software Engineering,IC3,,240000.0,11-03-2025,106.0,,,,
Software Engineering,IC5,,325000.0,02-02-2026,6.0,,,,
Partner Management,IC4,,180000.0,07-21-2025,18.0,,,,
Product Management,IC4,,228950.0,07-21-2025,0.0,,,,
Software Engineering,IC4,,278630.0,07-14-2025,7.0,,,,
Sales Development,IC2,,61380.0,08-04-2025,43.0,,,,
Customer Success Management,IC4,,82000.0,05-12-2025,,,,,
Product Management,IC4,,250000.0,08-25-2025,58.0,,,,
Product Design,IC4,,225000.0,06-16-2025,,,,,
Design Engineering,IC4,,234000.0,07-14-2025,3.0,,,,
Revenue Operations,IC3,,260000.0,12-15-2025,75.0,,,,
Software Engineering,M4,,300000.0,10-20-2025,78.0,,,,
Partner Management,IC4,,189000.0,09-29-2025,66.0,,,,
Software Engineering,IC4,,275000.0,10-06-2025,2.0,,,,
Product Design,IC5,,240000.0,11-17-2025,125.0,,,,
Product Marketing,E1,,350000.0,06-23-2025,1.0,,,,
Product Management,IC4,,180000.0,02-09-2026,220.0,,,,
Security Engineering,E1,,400000.0,10-14-2025,118.0,,,,
Software Engineering,IC4,,290000.0,04-28-2025,,,,,
Business Operations,IC4,,130000.0,10-06-2025,96.0,,,,
Revenue Marketing,IC4,North America - USA - A,230000.0,06-08-2026,70.0,,,,
Accounting,E1,,375000.0,07-14-2025,28.0,,,,
Partner Management,M4,,218966.32,06-01-2025,3.0,,,,
Sales Development,IC2,,61380.0,08-04-2025,44.0,,,,
Recruiting,M4,,320000.0,09-08-2025,111.0,,,,
Software Engineering,IC5,North America - USA - A,,07-20-2026,1.0,USD,232000.0,290000.0,348000.0
Technical Account Manager,IC4,,190244.96,06-16-2025,6.0,,,,
L&D,M6,,325000.0,09-29-2025,2.0,,,,
Field Engineering,M6,,350000.0,10-27-2025,142.0,,,,
Developer Success Engineer,IC2,,137745.1,08-18-2025,52.0,,,,
Counsel,IC5,,350000.0,10-06-2025,114.0,,,,
Executive Assistant,IC3,,169710.0,05-27-2025,21.0,,,,
Sales Development,,,61860.0,06-02-2025,45.0,,,,
Software Engineering,IC4,,290000.0,09-15-2025,87.0,,,,
Software Engineering,IC4,,260000.0,02-23-2026,296.0,,,,
Software Engineering,IC4,,305000.0,11-17-2025,145.0,,,,
Data Analyst,IC4,,240000.0,05-19-2025,0.0,,,,
Executive Assistant,IC4,,140000.0,08-04-2025,112.0,,,,
Executive Assistant,IC4,,200000.0,09-02-2025,58.0,,,,
Analytics Engineer,IC4,,218920.0,04-21-2025,1.0,,,,
Data Analyst,IC4,,228000.0,06-30-2025,50.0,,,,
Customer Success Management,IC3,,135000.0,06-16-2025,10.0,,,,
Software Engineering,IC2,,148510.0,06-02-2025,1.0,,,,
Software Engineering,IC4,,260000.0,09-02-2025,92.0,,,,
Account Executives,IC2,,122850.0,06-02-2025,0.0,,,,
Software Engineering,IC4,,288982.0,05-27-2025,15.0,,,,
Software Engineering,IC4,,287860.0,06-16-2025,8.0,,,,
Software Engineering,IC4,,265000.0,06-30-2025,15.0,,,,
,IC4,,172900.0,03-21-2025,10.0,,,,
Software Engineering,M3,,330000.0,12-01-2025,173.0,,,,
Partner Solutions Engineering,IC4,North America - USA - A,,07-06-2026,378.0,,,,
Sales Development,IC2,,60000.0,03-10-2025,0.0,,,,
Recruiting,IC4,,215000.0,05-27-2025,,,,,
Technical Account Manager,IC4,,180167.14,04-28-2025,43.0,,,,
Recruiting,IC3,,165000.0,11-03-2025,1.0,,,,
Product Design,M6,,326000.0,12-15-2025,148.0,,,,
Counsel,IC5,,235000.0,07-14-2025,89.0,,,,
Software Engineering,IC4,,240000.0,06-02-2025,0.0,,,,
Software Engineering,IC4,,266000.0,03-24-2025,10.0,,,,
Software Engineering,IC2,,214950.0,07-07-2025,6.0,,,,
Revenue Marketing,IC4,Europe - Western - Germany,135000.0,03-16-2026,361.0,,,,
Software Engineering,IC4,,,01-05-2026,58.0,,,,
Information Technology,IC3,,145000.0,08-04-2025,86.0,,,,
Software Engineering,IC4,South America - Argentina,,06-22-2026,371.0,,,,
Account Executives,IC4,,220220.0,05-19-2025,,,,,
Data Analyst,M4,,220000.0,08-04-2025,5.0,,,,
Product Management,IC4,,375000.0,09-02-2025,96.0,,,,
Software Engineering,IC4,,140000.0,10-06-2025,8.0,,,,
Security Engineering,IC5,,230000.0,10-20-2025,136.0,,,,
Field Engineering,IC4,,217648.05,08-25-2025,22.0,,,,
Technical Account Manager,IC4,,181806.03,04-14-2025,13.0,,,,
Account Executives Commercial,IC4,,102750.0,09-01-2025,2.0,,,,
Security Engineering,M4,,325000.0,10-20-2025,204.0,,,,
Software Engineering,IC3,,260012.1,05-12-2025,9.0,,,,
Software Engineering,IC4,,183085.85,06-30-2025,89.0,,,,
Product Management,IC6,,330000.0,10-14-2025,163.0,,,,
Software Engineering,IC4,,322930.0,04-14-2025,12.0,,,,
HRBPs,IC5,,225000.0,07-21-2025,108.0,,,,
Business Development,IC5,,335000.0,09-29-2025,71.0,,,,
