"job_role","job_level","location","actual_base","actual_start_date","time_to_fill","base_low","base_mid","base_high","currency"
"AE Corporate Sales, Overlay (IC)","IC2","Australia",108675,"2026-02-01",8,,,,"AUD"
"Solutions Engineer (IC)","IC3","Europe",119339.81,"2026-03-02",,81375,116250,139500,"EUR"
"Solutions Engineer (IC)","IC4","Europe",191250,"2026-06-30",31,91875,131250,157500,"EUR"
"Solutions Engineer (IC)","IC4","North America",,"2026-08-04",59,128100,183000,219600,"USD"
"Solutions Engineer (IC)","IC4","North America",198750,"2026-05-12",58,128100,183000,219600,"USD"
"Solutions Engineer (IC)","IC5","North America",231000,"2026-05-05",32,141750,202500,243000,"USD"
"Solutions Engineer (IC)","IC4","Europe",135000,"2026-06-16",2,91875,131250,157500,"EUR"
"Solutions Engineer (IC)","IC4","Europe",131250,"2026-06-30",9,91875,131250,157500,"EUR"
"TAM (IC)","IC4","North America",170000,"2026-05-05",5,111300,159000,190800,"USD"
"TAM (IC)","IC4","Europe",135000,"2026-07-21",68,83300,119000,142800,"EUR"
"TAM (IC)","IC4","Japan",8750000,"2026-06-02",63,9800000,14000000,16800000,"JPY"
"Renewals (M)","M4","Europe",114000,"2026-05-01",64,82320,117600,141120,"EUR"
"Renewals (IC)","IC3","Europe",,"2026-09-22",,51240,73200,87840,"EUR"
"Renewals (IC)","IC3","North America",105000,"2026-05-05",38,69300,99000,118800,"USD"
"Renewals (IC)","IC3","North America",126600,"2026-05-19",34,69300,99000,118800,"USD"
"Renewals (IC)","IC3","Europe",,"2026-09-01",,51240,73200,87840,"EUR"
"Renewals (IC)","IC3","Europe",105000,"2026-05-19",7,51240,73200,87840,"EUR"
"BDR (IC)","IC1","North America",59500,"2026-06-02",39,,,,"USD"
"Sales Ops","IC4","Europe",100000,"2026-03-31",33,77000,110000,132000,"EUR"
"Sales Ops","IC4","North America",155000,"2026-04-28",60,108500,155000,186000,"USD"
"AE Strategic (IC)","IC6","Australia",225000,"2026-03-24",28,154700,221000,265200,"AUD"
"Deal Desk (IC)","IC4","North America",160000,"2026-05-27",49,106400,152000,182400,"USD"
,"IC5","Australia",175000,"2026-02-03",6,,,,"AUD"
"Sales Ops","IC4","North America",175000,"2026-06-30",50,108500,155000,186000,"USD"
,"IC7","North America",200000,"2026-04-28",65,,,,"USD"
"Accounting (IC)","IC5","North America",150000,"2026-07-07",55,112700,161000,193200,"USD"
"AE Strategic (IC)","IC5","Europe",125000,"2026-05-11",86,91700,131000,157200,"EUR"
,"IC5","Europe",122000,"2026-03-10",2,,,,"EUR"
"AE Strategic (IC)","IC5","Europe",122500,"2026-02-09",6,91700,131000,157200,"EUR"
"AE Strategic (IC)","IC6","North America",165000,"2026-04-21",64,105000,150000,180000,"USD"
"AE Strategic (IC)","IC6","North America",165000,"2026-03-17",26,105000,150000,180000,"USD"
"AE Strategic (IC)","IC6","North America",175000,"2026-02-24",15,105000,150000,180000,"USD"
"AE Mid-Enterprise (IC)","IC4","Europe",82200,"2026-05-12",13,62300,89000,106800,"EUR"
"AE Mid-Enterprise (IC)","IC4","Europe",89000,"2026-04-21",40,62300,89000,106800,"EUR"
"AE Mid-Enterprise (IC)","IC4","North America",72500,"2026-05-12",27,63000,90000,108000,"USD"
"AE Mid-Enterprise (IC)","IC4","North America",85000,"2026-06-23",76,63000,90000,108000,"USD"
"AE Mid-Enterprise (IC)","IC4","North America",85000,"2026-06-23",83,63000,90000,108000,"USD"
"AE Mid-Enterprise (IC)","IC4","North America",,"2026-07-07",6,63000,90000,108000,"USD"
"AE Mid-Enterprise (IC)","IC4","North America",148000,"2026-05-12",31,63000,90000,108000,"USD"
"AE Mid-Enterprise (IC)","IC4","North America",100000,"2026-04-28",16,63000,90000,108000,"USD"
"AE Strategic (IC)","IC6","North America",192500,"2026-04-07",57,105000,150000,180000,"USD"
"AE Strategic (IC)","IC6","North America",180000,"2026-04-14",59,105000,150000,180000,"USD"
"AE Strategic (IC)","IC6","North America",225000,"2026-02-09",7,105000,150000,180000,"USD"
"Solutions Architect (IC)","IC6","North America",310000,"2026-03-31",26,171500,245000,294000,"USD"
"Solutions Architect (IC)","IC6","North America",300000,"2026-04-07",54,171500,245000,294000,"USD"
"Channel Sales (IC)","IC5","North America",228240,"2026-03-31",22,112980,161400,193680,"USD"
"Channel Sales (IC)","IC4","Europe",164500,"2026-05-19",37,87360,124800,149760,"EUR"
"Channel Sales (IC)","IC4","Japan",14100000,"2026-06-30",111,,,,"JPY"
"Channel Sales (IC)","IC4","Europe",108000,"2026-04-28",40,87360,124800,149760,"EUR"
"Channel Sales (IC)","IC4","Europe",102000,"2026-05-12",39,87360,124800,149760,"EUR"
"Support Tooling (IC)","IC4","North America",201000,"2026-06-16",36,147000,210000,252000,"USD"
"Support (IC)","IC3","North America",165000,"2026-06-23",57,76300,109000,130800,"USD"
"Support (IC)","IC3","North America",260000,"2026-05-05",27,76300,109000,130800,"USD"
"Technical Program Manager Eng (IC)","IC5","North America",220000,"2026-04-21",61,152600,218000,261600,"USD"
,"IC5","North America",250000,"2026-03-10",24,,,,"USD"
,"IC4","Europe",130000,"2026-02-24",20,,,,"EUR"
,"M7","North America",350000,"2026-02-10",1,,,,"USD"
"Product Manager (IC)","IC5","North America",270000,"2026-03-17",75,169400,242000,290400,"USD"
"Software Engineer (IC)","IC3","Europe",,"2026-07-21",,78750,112500,135000,"EUR"
"Software Engineer (IC)","IC5","Europe",152000,"2026-08-04",8,115500,165000,198000,"EUR"
"Engineering (M)","M5","Europe",160000,"2026-05-05",46,137200,196000,235200,"EUR"
"Software Engineer (IC)","IC3","Europe",120000,"2026-02-24",4,78750,112500,135000,"EUR"
"BDR (IC)","IC1","Australia",105000,"2026-03-31",55,61250,87500,105000,"AUD"
"BDR (IC)","IC1","North America",62300,"2026-02-03",4,,,,"USD"
"BDR (IC)","IC1","Europe",63000,"2026-04-14",49,36260,51800,62160,"EUR"
"BDR (M)","M4","North America",140000,"2026-03-17",44,108780,155400,186480,"USD"
,"IC5","North America",180000,"2025-12-16",2,,,,"USD"
"Sales Enablement (IC)","IC3","North America",160000,"2026-04-14",40,97300,139000,166800,"USD"
"Sales Enablement (M)","M5","North America",206000,"2025-12-01",,134400,192000,230400,"USD"
"TAM (IC)","IC4","North America",184000,"2026-02-03",26,111300,159000,190800,"USD"
"Renewals (IC)","IC3","Australia",120000,"2026-02-09",39,76860,109800,131760,"AUD"
,"IC6","North America",450000,"2026-05-12",0,,,,"USD"
"Engineering (M)","M5","North America",334750,"2026-01-01",13,231600,289500,347400,"USD"
"Software Engineer (IC)","IC5","North America",325000,"2026-03-31",87,200400,250500,300600,"USD"
"Software Engineer (IC)","IC5","North America",300000,"2026-05-05",18,200400,250500,300600,"USD"
,"IC4","North America",275000,"2026-06-16",112,,,,"USD"
"Customer Experience Engineer (IC)","IC3","North America",133488,"2026-03-16",55,98000,140000,168000,"USD"
"Customer Experience Engineer (IC)","IC3","North America",7500000,"2026-04-07",50,98000,140000,168000,"USD"
"TAM (M)","M6","North America",225000,"2026-01-21",14,154000,220000,264000,"USD"
"Solutions Engineer (IC)","IC4","North America",195000,"2026-06-08",175,128100,183000,219600,"USD"
"Solutions Engineering (IC)","IC4","Europe",139725,"2026-02-01",77,0,129750,0,"EUR"
"Software Engineer (IC)","IC6","North America",350000,"2026-01-13",13,203000,290000,348000,"USD"
,"IC6","North America",273750,"2026-01-06",6,,,,"USD"
"Solutions Engineering (M)","M6","North America",337500,"2026-01-27",33,0,240000,0,"USD"
"Software Engineer (IC)","IC4","North America",270000,"2026-02-24",65,165900,237000,284400,"USD"
"Software Engineer (IC)","IC6","North America",255000,"2026-03-17",0,203000,290000,348000,"USD"
"Software Engineer (IC)","IC4","North America",290000,"2026-03-31",76,165900,237000,284400,"USD"
"Software Engineer (IC)","IC4","North America",230000,"2026-03-03",72,165900,237000,284400,"USD"
"Software Engineer (IC)","IC4","North America",230000,"2026-04-21",114,165900,237000,284400,"USD"
"Engineering (M)","M5","North America",300000,"2026-05-19",2,202650,289500,347400,"USD"
"Software Engineer (IC)","IC5","North America",240000,"2026-06-30",46,175350,250500,300600,"USD"
,"IC3","North America",235000,"2026-03-17",76,,,,"USD"
,"IC3","North America",235000,"2026-03-03",0,,,,"USD"
"Software Engineer (IC)","IC2","North America",283000,"2026-01-21",2,104300,149000,178800,"USD"
"Data Engineering (IC)","IC6","North America",348000,"2026-02-03",0,172900,247000,296400,"USD"
,"IC3","North America",250000,"2026-06-09",159,,,,"USD"
"Engineering (M)","M5","North America",340000,"2026-06-23",0,202650,289500,347400,"USD"
"AE Enterprise","IC4","Europe",120000,"2026-01-07",23,86000,107500,129000,"EUR"
"TAM (IC)","IC3","North America",155000,"2026-05-05",138,96600,138000,165600,"USD"
"Software Engineer (IC)","IC5","North America",300000,"2026-03-31",98,200400,250500,300600,"USD"
"Software Engineer (IC)","IC4","North America",240000,"2026-01-13",28,165900,237000,284400,"USD"
"Data Engineering (IC)","IC6","North America",380000,"2026-04-21",135,182000,260000,312000,"USD"
,"IC3","North America",130000,"2026-01-13",30,,,,"USD"
"Business Development Representative (IC)","IC2","North America",84000,"2026-01-06",27,56000,70000,84000,"USD"
"Product Manager (IC)","IC7","North America",320000,"2025-12-02",4,228000,285000,342000,"USD"
"Data Engineering (M)","M6","North America",325000,"2026-01-06",31,195200,244000,292800,"USD"
"Software Engineer (IC)","IC5","North America",255000,"2026-02-18",57,200400,250500,300600,"USD"
,"IC4","North America",260000,"2026-04-07",89,,,,"USD"
"Security Engineering (IC)","IC4","Europe",350000,"2026-05-05",82,118860,169800,203760,"EUR"
"Recruiting (IC)","IC5","North America",160000,"2026-01-27",1,141050,201500,241800,"USD"
"Product Manager (IC)","IC5","North America",270000,"2026-02-24",4,169400,242000,290400,"USD"
"Software Engineer (IC)","IC4","North America",240000,"2026-03-24",34,189600,237000,284400,"USD"
"Software Engineer (IC)","IC4","North America",258000,"2026-05-12",12,189600,237000,284400,"USD"
"Product Manager (IC)","IC5","North America",265000,"2026-01-13",2,169400,242000,290400,"USD"
,,"North America",285000,"2026-03-16",78,,,,"USD"
"Sales Enablement (IC)","IC6","Europe",150000,"2026-02-03",54,105000,150000,180000,"EUR"
,"E2","North America",450000,"2026-01-13",51,,,,"USD"
"Software Engineer (IC)","IC6","North America",240000,"2026-03-17",1,203000,290000,348000,"USD"
"Growth & Renewals (IC)","IC3","North America",79200,"2025-11-01",,84337,105422,126506,"USD"
"AE Mid-Enterprise, Strategic (M)","M6","North America",230000,"2025-12-02",9,134400,192000,230400,"USD"
"AE Strategic (IC)","IC6","North America",167500,"2026-02-03",92,105000,150000,180000,"USD"
"Support (M)","M7","North America",280000,"2026-01-13",46,188300,269000,322800,"USD"
"Software Engineer (IC)","IC5","North America",290000,"2026-01-06",24,175350,250500,300600,"USD"
"Engineering (M)","M5","North America",300000,"2026-04-07",77,202400,253000,303600,"USD"
"Software Engineer (IC)","IC4","North America",230000,"2026-02-10",67,189600,237000,284400,"USD"
"Engineering (M)","M7","North America",350000,"2025-11-18",1,247100,353000,423600,"USD"
"AE Mid-Enterprise (IC)","IC3","Europe",80000,"2025-12-09",13,47950,68500,82200,"EUR"
"AE Mid-Enterprise, Strategic (M)","M6","North America",200000,"2025-11-04",15,134400,192000,230400,"USD"
"Engineering (M)","M6","North America",400000,"2026-03-17",106,218750,312500,375000,"USD"
,"IC5","Europe",120000,"2025-12-09",22,,,,"EUR"
"AE Mid-Enterprise (IC)","IC3","North America",95000,"2026-02-18",111,50750,72500,87000,"USD"
"IT (IC)","IC3","North America",144200,"2025-11-01",2,94850,135500,162600,"USD"
,"IC4","North America",180000,"2026-01-06",11,,,,"USD"
"Engineering (M)","M6","North America",350000,"2025-12-09",2,218750,312500,375000,"USD"
"Software Engineer (IC)","IC4","North America",250000,"2026-05-19",160,165900,237000,284400,"USD"
"Software Engineer (IC)","IC4","North America",260000,"2026-01-27",89,165900,237000,284400,"USD"
"Software Engineer (IC)","IC4","Europe",165000,"2026-08-25",203,99050,141500,169800,"EUR"
"Software Engineer (IC)","IC5","North America",340000,"2026-02-03",115,200400,250500,300600,"USD"
"Product Manager (IC)","IC6","North America",320000,"2026-01-13",22,210400,263000,315600,"USD"
"Software Engineer (IC)","IC5","Europe",155000,"2026-01-13",35,115500,165000,198000,"EUR"
"Engineering (M)","M6","North America",325000,"2025-12-02",33,218750,312500,375000,"USD"
"Recruiting Operations (IC)","IC2","North America",90000,"2025-11-11",30,79800,114000,136800,"USD"
,"IC5","North America",295000,"2025-11-04",18,,,,"USD"
"Solutions Engineering (IC)","IC4","North America",240000,"2025-11-18",30,0,195000,0,"USD"
"Strategic Finance (IC)","IC4","North America",225000,"2025-12-16",50,144800,181000,217200,"USD"
"Software Engineer (IC)","IC5","North America",275000,"2026-03-03",126,175350,250500,300600,"USD"
,"IC5","Europe",1341000,"2025-12-09",9,,,,"EUR"
"Software Engineer (IC)","IC6","North America",300000,"2026-04-07",57,232000,290000,348000,"USD"
"Software Engineer (IC)","IC6","North America",300000,"2025-12-02",21,203000,290000,348000,"USD"
,"IC6",,210000,"2025-12-02",45,,,,
,,"North America",257500,"2025-10-07",10,,,,"USD"
,"IC5","North America",250000,"2025-12-02",16,,,,"USD"
,"IC5","North America",250000,"2025-12-02",16,,,,"USD"
"Business Development Representative (IC)","IC2","Europe",59500,"2025-11-04",41,46480,58100,69720,"EUR"
"Renewals (IC)","IC3","North America",99000,"2025-10-01",21,69300,99000,118800,"USD"
,"IC6","North America",94420,"2026-06-01",102,,,,"USD"
"Product Manager (IC)","IC6","North America",300000,"2026-07-07",0,184100,263000,315600,"USD"
,"IC7","North America",400000,"2026-01-26",0,,,,"USD"
"Business Development Representative (IC)","IC2","North America",80500,"2025-12-16",88,56000,70000,84000,"USD"
,"IC3","Europe",72450,"2025-09-01",,,,,"EUR"
"AE Mid-Enterprise (IC)","IC3","Europe",85000,"2025-11-11",39,47950,68500,82200,"EUR"
"Data Engineering (M)","M8","North America",350000,"2025-10-14",,0,0,0,"USD"
"Sales Ops","IC4","North America",160450,"2025-10-28",39,108500,155000,186000,"USD"
"Software Engineer (IC)","IC5","North America",257500,"2025-10-28",44,200400,250500,300600,"USD"
,"IC3","North America",94420,"2025-02-01",,,,,"USD"
,"E1","North America",385000,"2025-09-09",,,,,"USD"
"People Ops (IC)","IC1","North America",76000,"2025-11-01",1,63000,90000,108000,"USD"
,"IC3","North America",210000,"2026-02-03",41,,,,"USD"
"AE Strategic","IC5","Europe",141932.5,"2025-10-21",44,111200,139000,166800,"EUR"
,"IC3","North America",82500,"2025-12-02",71,,,,"USD"
"Growth & Renewals (IC)","IC3","North America",96000,"2025-09-01",18,84337,105422,126506,"USD"
,"IC5","Europe",138714.46,"2025-10-28",5,,,,"EUR"
"Software Engineer (IC)","IC6","Europe",200000,"2025-09-09",14,144000,180000,216000,"EUR"
,"M5","North America",320000,"2026-01-27",4,,,,"USD"
"Product Design (IC)","IC4","North America",230000,"2025-12-09",101,151900,217000,260400,"USD"
"Sales Ops","IC4","Europe",110000,"2025-12-16",75,77000,110000,132000,"EUR"
"Product Marketing (IC)","IC6","North America",220000,"2026-02-18",140,144200,206000,247200,"USD"
"Software Engineer (IC)","IC6","North America",280000,"2026-04-07",0,203000,290000,348000,"USD"
"Software Engineer (IC)","IC4","North America",260000,"2026-01-06",35,165900,237000,284400,"USD"
"Software Engineer (IC)","IC4","North America",250000,"2026-01-06",33,165900,237000,284400,"USD"
"Solutions Engineering (IC)","IC4","North America",210000,"2025-09-30",28,0,195000,0,"USD"
,,"North America",284900,"2025-10-07",4,,,,"USD"
"Sales Enablement (IC)","IC3","North America",190000,"2025-09-08",25,97300,139000,166800,"USD"
,"IC4","North America",170000,"2025-10-14",45,,,,"USD"
,"IC3","North America",160000,"2025-12-09",79,,,,"USD"
"Business Development Representative (IC)","IC1","North America",68600,"2026-01-06",50,47600,59500,71400,"USD"
"Business Development Representative (IC)","IC1","North America",70000,"2025-12-16",40,47600,59500,71400,"USD"
"Software Engineer (IC)","IC4","Europe",104072.57,"2025-09-02",,113200,141500,169800,"EUR"
,"IC7","North America",216000,"2025-09-30",29,,,,"USD"
"Sales Enablement (M)","M5","North America",200000,"2025-08-01",14,134400,192000,230400,"USD"
,"IC6","North America",275000,"2025-07-29",3,,,,"USD"
,"IC4","North America",263000,"2025-11-11",79,,,,"USD"
,,,279813,"2025-08-05",5,,,,
"Product Manager (IC)","IC7","North America",,"2026-06-30",,199500,285000,342000,"USD"
"Software Engineer (IC)","IC4","Europe",112500,"2026-03-24",164,99050,141500,169800,"EUR"
"Channel Sales (IC)","IC5","North America",186000,"2025-09-08",44,112980,161400,193680,"USD"
"Software Engineer (IC)","IC5","North America",234300,"2025-07-08",3,200400,250500,300600,"USD"
"Engineering (M)","M5","North America",309000,"2025-09-30",0,231600,289500,347400,"USD"
"Solutions Engineering (M)","M6","North America",220000,"2025-07-15",0,0,240000,0,"USD"
"Payroll (IC)","IC4","North America",144000,"2025-08-19",32,105000,150000,180000,"USD"
"Product Manager (IC)","IC4","North America",220000,"2025-07-29",6,176000,220000,264000,"USD"
"AE Enterprise (IC)","IC5","Australia",230000,"2025-11-18",56,0,211500,0,"AUD"
,"M8","North America",345050,"2025-08-05",,,,,"USD"
"Detection & Response (IC)","IC4","North America",287000,"2025-07-29",7,156450,223500,268200,"USD"
"Software Engineer (IC)","IC6","North America",250000,"2025-09-09",,203000,290000,348000,"USD"
"Software Engineer (IC)","IC4","North America",207983,"2025-08-01",0,189600,237000,284400,"USD"
"Executive Admin (IC)","IC3","North America",,"2025-07-21",28,104300,149000,178800,"USD"
"Product Manager (IC)","IC4","North America",169533,"2025-08-01",41,176000,220000,264000,"USD"
"People (M)","M5","North America",198000,"2025-05-01",,163100,233000,279600,"USD"
"Software Engineer (IC)","IC3","North America",224400,"2025-07-29",34,162000,202500,243000,"USD"
"Software Engineer (IC)","IC3","North America",95000,"2025-08-12",25,162000,202500,243000,"USD"
"Software Engineer (IC)","IC3","North America",95000,"2025-09-16",18,162000,202500,243000,"USD"
"Engineering (M)","M4","Europe",168500,"2025-09-16",78,128400,160500,192600,"EUR"
"Engineering (M)","M4","North America",366684.16,"2025-09-09",56,205600,257000,308400,"USD"
"Software Engineer (IC)","IC7","North America",350000,"2025-07-15",26,256000,320000,384000,"USD"
"Software Engineer (IC)","IC5","North America",226600,"2025-07-08",6,200400,250500,300600,"USD"
"Data Engineering (IC)","IC5","North America",294700,"2025-07-08",6,190400,238000,285600,"USD"
"Security Engineering (M)","M7","North America",380000,"2025-10-13",1,296450,423500,508200,"USD"
,"IC7","North America",339900,"2025-07-08",5,,,,"USD"
"Software Engineer (IC)","IC3","North America",203940,"2025-07-15",27,141750,202500,243000,"USD"
"Software Engineer (IC)","IC5","North America",241500,"2025-06-03",4,200400,250500,300600,"USD"
"Solutions Engineering (M)","M6","North America",340200,"2025-06-03",2,0,240000,0,"USD"
"Product Manager (IC)","IC6","North America",300000,"2025-11-11",172,210400,263000,315600,"USD"
"People Ops (IC)","IC5","North America",159000,"2025-09-03",93,0,0,0,"USD"
"People (IC)","IC5","North America",215000,"2025-05-28",2,143150,204500,245400,"USD"
"Compliance (IC)","IC4","North America",181500,"2025-10-13",9,128800,184000,220800,"USD"
"Product Manager (IC)","IC4","North America",286000,"2025-08-19",74,176000,220000,264000,"USD"
"Marketing (IC)","IC4","North America",193800,"2025-07-08",44,115500,165000,198000,"USD"
"Marketing (IC)","IC5","North America",178500,"2025-07-08",43,142100,203000,243600,"USD"
"People (IC)","IC4","Europe",110000,"2025-05-13",1,77000,110000,132000,"EUR"
"Accounting (IC)","IC4","North America",152000,"2025-08-19",99,105000,150000,180000,"USD"
"Compliance (IC)","IC4","North America",250000,"2025-07-01",56,128800,184000,220800,"USD"
"Security Engineering (IC)","IC4","North America",275000,"2025-05-20",2,199150,284500,341400,"USD"
"Software Engineer (IC)","IC5","North America",150000,"2026-03-17",269,175350,250500,300600,"USD"
"Software Engineer (IC)","IC4","North America",218400,"2025-07-15",45,168000,210000,252000,"USD"
"Software Engineer (IC)","IC5","North America",170000,"2025-06-10",36,196000,245000,294000,"USD"
"Security Engineering (IC)","IC4","Europe",145600,"2025-07-01",0,118860,169800,203760,"EUR"
"Detection & Response (IC)","IC4","North America",318000,"2025-07-15",86,156450,223500,268200,"USD"
"Marketing (IC)","IC6","North America",231188,"2025-09-30",50,165600,207000,248400,"USD"
"Executive Admin (IC)","IC3","North America",185000,"2025-07-15",10,104300,149000,178800,"USD"
"Revenue Ops (IC)","IC3","North America",109200,"2025-04-22",17,96000,120000,144000,"USD"
"Solutions Engineering (IC)","IC5","Europe",139725,"2025-06-17",28,0,146250,0,"EUR"
"Marketing (IC)","IC6","North America",182438,"2025-08-05",89,165600,207000,248400,"USD"
,"IC7","North America",381500,"2025-03-25",6,,,,"USD"
"Security Engineering (IC)","IC4","North America",210200,"2025-05-06",39,199150,284500,341400,"USD"
,"IC4","North America",220000,"2025-07-08",85,,,,"USD"
"Security Engineering (IC)","IC4","Europe",141681,"2025-05-06",24,118860,169800,203760,"EUR"
,,"Europe",154224,"2025-02-13",,,,,"EUR"
,,"North America",210000,"2025-03-25",2,,,,"USD"
"AE Mid-market","IC3",,82500,"2025-03-11",15,,,,
"Software Engineer (IC)","IC4","Europe",128746.7,"2025-08-12",79,94400,118000,141600,"EUR"
,,"North America",172250,"2025-02-01",,,,,"USD"
"AE Mid-market","IC3","North America",99000,"2025-04-08",47,69400,86750,104100,"USD"
"Security Engineering (IC)","IC4","North America",285000,"2025-05-13",29,199150,284500,341400,"USD"
,"IC5","Europe",100000,"2025-05-06",56,,,,"EUR"
"AE Velocity","IC2","Japan",7900000,"2025-05-01",91,4088000,5110000,6132000,"JPY"
"Customer Success Manager (IC)","IC5","North America",200000,"2025-04-22",57,160000,200000,240000,"USD"
"Sales Enablement (IC)","IC2","North America",225000,"2025-03-01",0,77000,110000,132000,"USD"
"Solutions Engineering (IC)","IC4","Australia",309000,"2025-04-22",58,0,284100,0,"AUD"
"Solutions Engineering (IC)","IC4","Europe",119339.81,"2025-03-25",33,0,129750,0,"EUR"
"AE Enterprise","IC4","Australia",7985399.92,"2025-05-28",76,130400,163000,195600,"AUD"
"Revenue Ops (IC)","IC3","North America",119025,"2025-03-11",43,96000,120000,144000,"USD"
,"IC5","North America",230000,"2025-05-13",79,,,,"USD"
"Solutions Engineering (IC)","IC5","North America",210375,"2025-03-18",45,0,210375,0,"USD"
"Recruiting (IC)","IC4","North America",181125,"2025-01-02",1,127400,182000,218400,"USD"
"AE Strategic","IC6","North America",180250,"2025-04-29",95,132800,166000,199200,"USD"
"Revenue Ops (M)","M4","North America",176000,"2025-02-11",48,119000,170000,204000,"USD"
"Payroll (IC)","IC3","North America",120000,"2025-01-07",30,88900,127000,152400,"USD"
"AE Enterprise","IC4","Japan",252000,"2025-01-22",23,8880000,11100000,13320000,"JPY"
,"IC4","Europe",207675,"2025-05-06",80,,,,"EUR"
"AE Enterprise","IC4","North America",150000,"2025-01-14",12,96000,120000,144000,"USD"
"AE Enterprise","IC4","Japan",252000,"2025-01-14",17,8880000,11100000,13320000,"JPY"
"AE Enterprise","IC4","Japan",252000,"2025-01-07",17,8880000,11100000,13320000,"JPY"
"Systems & Enablement (IC)","IC4","North America",191450,"2024-11-05",17,120800,151000,181200,"USD"
,,"North America",150000,"2024-12-03",37,,,,"USD"
"Customer Success Manager (IC)","IC5","Europe",154224,"2025-01-14",52,113600,142000,170400,"EUR"
"Data Engineering (IC)","IC4","Europe",119025,"2025-03-04",66,100000,125000,150000,"EUR"
"AE Enterprise","IC4","North America",150000,"2025-01-22",87,96000,120000,144000,"USD"
